[armor]
!0@	Kite Shield (Immortal)
!9@	Bone Helm (Immortal)
!q@	Light Plate (Immortal)
@01	Quilted Armor (Sacred)
304	Short Sword (4)
305	Scimitar (4)
306	Saber (4)
307	Falchion (4)
308	Broad Sword (4)
31@	Grand Scepter (Sacred)
310	War Sword (4)
311	Two-Handed Sword (4)
312	Claymore (4)
313	Giant Sword (4)
314	Bastard Sword (4)
315	Flamberge (4)
316	Great Sword (4)
317	Crystal Sword (4)
318	Hand Axe (4)
319	Axe (4)
32@	War Scepter (Sacred)
320	Double Axe (4)
321	Military Pick (4)
322	War Axe (4)
323	Large Axe (4)
325	Battle Axe (4)
326	Great Axe (4)
327	Giant Axe (4)
328	Club (4)
329	Spiked Club (4)
33@	Javelin (Sacred)
330	Mace (4)
331	Morning Star (4)
332	Flail (4)
333	Scepter (4)
334	Grand Scepter (4)
335	War Scepter (4)
336	Javelin (4)
337	Pilum (4)
338	Short Spear (4)
339	Glaive (4)
34@	Pilum (Sacred)
340	Throwing Spear (4)
341	Spear (4)
342	Trident (4)
343	Brandistock (4)
344	Spetum (4)
345	Pike (4)
346	Dagger (4)
347	Dirk (4)
348	Kriss (4)
349	Blade (4)
35@	Short Spear (Sacred)
350	Throwing Knife (4)
351	Flying Knife (4)
352	Balanced Knife (4)
353	Throwing Axe (4)
354	Balanced Axe (4)
355	Short Staff (4)
356	Long Staff (4)
357	Gnarled Staff (4)
358	Battle Staff (4)
359	War Staff (4)
36@	Glaive (Sacred)
362	Scythe (4)
364	Short Bow (4)
365	Hunter's Bow (4)
366	Long Bow (4)
367	Composite Bow (4)
368	Short Battle Bow (4)
369	Long Battle Bow (4)
37@	Throwing Spear (Sacred)
370	Short War Bow (4)
371	Long War Bow (4)
372	Short Sword (5)
373	Scimitar (5)
374	Saber (5)
375	Falchion (5)
376	Broad Sword (5)
378	War Sword (5)
379	Two-Handed Sword (5)
38@	Spear (Sacred)
380	Claymore (5)
381	Giant Sword (5)
382	Bastard Sword (5)
383	Flamberge (5)
384	Great Sword (5)
385	Crystal Sword (5)
386	Hand Axe (5)
387	Axe (5)
388	Double Axe (5)
389	Military Pick (5)
39@	Trident (Sacred)
390	War Axe (5)
391	Large Axe (5)
393	Battle Axe (5)
394	Great Axe (5)
395	Giant Axe (5)
396	Club (5)
397	Spiked Club (5)
398	Mace (5)
399	Morning Star (5)
4@1	Compound Bow (4)
4@2	Serpent Bow (6)
4@3	Viper Bow (1)
4@4	Recurve Bow (3)
4@5	Spatha (5)
4@6	Backsword (Sacred)
4@7	Bronze Sword (2)
4@8	Kriegsmesser (4)
4@9	Bonebreaker (6)
4@A	Angel Star (1)
4@C	Hand of God (5)
4@D	Needle Crossbow (Sacred)
4@E	Stinger Crossbow (2)
4@F	Trebuchet (4)
40@	Brandistock (Sacred)
400	Flail (5)
401	Scepter (5)
402	Grand Scepter (5)
403	War Scepter (5)
404	Javelin (5)
405	Pilum (5)
406	Short Spear (5)
407	Glaive (5)
408	Throwing Spear (5)
409	Spear (5)
41@	Spetum (Sacred)
410	Trident (5)
411	Brandistock (5)
412	Spetum (5)
413	Pike (5)
414	Dagger (5)
415	Dirk (5)
416	Kriss (5)
417	Blade (5)
418	Throwing Knife (5)
419	Flying Knife (5)
42@	Pike (Sacred)
420	Balanced Knife (5)
421	Throwing Axe (5)
422	Balanced Axe (5)
423	Short Staff (5)
424	Long Staff (5)
425	Gnarled Staff (5)
426	Battle Staff (5)
427	War Staff (5)
43@	Dagger (Sacred)
430	Scythe (5)
432	Short Bow (5)
433	Hunter's Bow (5)
434	Long Bow (5)
435	Composite Bow (5)
436	Short Battle Bow (5)
437	Long Battle Bow (5)
438	Short War Bow (5)
439	Long War Bow (5)
44@	Dirk (Sacred)
440	Short Sword (6)
441	Scimitar (6)
442	Saber (6)
443	Falchion (6)
444	Broad Sword (6)
446	War Sword (6)
447	Two-Handed Sword (6)
448	Claymore (6)
449	Giant Sword (6)
45@	Kriss (Sacred)
450	Bastard Sword (6)
451	Flamberge (6)
452	Great Sword (6)
453	Crystal Sword (6)
454	Hand Axe (6)
455	Axe (6)
456	Double Axe (6)
457	Military Pick (6)
458	War Axe (6)
459	Large Axe (6)
46@	Blade (Sacred)
461	Battle Axe (6)
462	Great Axe (6)
463	Giant Axe (6)
464	Club (6)
465	Spiked Club (6)
466	Mace (6)
467	Morning Star (6)
468	Flail (6)
469	Scepter (6)
47@	Throwing Knife (Sacred)
470	Grand Scepter (6)
471	War Scepter (6)
472	Javelin (6)
473	Pilum (6)
474	Short Spear (6)
475	Glaive (6)
476	Throwing Spear (6)
477	Spear (6)
478	Trident (6)
479	Brandistock (6)
48@	Flying Knife (Sacred)
480	Spetum (6)
481	Pike (6)
482	Dagger (6)
483	Dirk (6)
484	Kriss (6)
485	Blade (6)
486	Throwing Knife (6)
487	Flying Knife (6)
488	Balanced Knife (6)
489	Throwing Axe (6)
49@	Balanced Knife (Sacred)
490	Balanced Axe (6)
491	Short Staff (6)
492	Long Staff (6)
493	Gnarled Staff (6)
494	Battle Staff (6)
495	War Staff (6)
498	Scythe (6)
5@1	Compound Bow (5)
5@2	Serpent Bow (Sacred)
5@3	Viper Bow (2)
5@4	Recurve Bow (4)
5@5	Spatha (6)
5@6	Ida (1)
5@7	Bronze Sword (3)
5@8	Kriegsmesser (5)
5@9	Bonebreaker (Sacred)
5@A	Angel Star (2)
5@C	Hand of God (6)
5@D	Dart Thrower (1)
5@E	Stinger Crossbow (3)
5@F	Trebuchet (5)
50@	Throwing Axe (Sacred)
500	Short Bow (6)
501	Hunter's Bow (6)
502	Long Bow (6)
503	Composite Bow (6)
504	Short Battle Bow (6)
505	Long Battle Bow (6)
506	Short War Bow (6)
507	Long War Bow (6)
51@	Balanced Axe (Sacred)
52@	Short Staff (Sacred)
53@	Long Staff (Sacred)
54@	Gnarled Staff (Sacred)
55@	Battle Staff (Sacred)
56@	War Staff (Sacred)
59@	Scythe (Sacred)
6@1	Compound Bow (6)
6@2	Maple Bow (1)
6@3	Viper Bow (3)
6@4	Recurve Bow (5)
6@5	Spatha (Sacred)
6@6	Ida (2)
6@7	Bronze Sword (4)
6@8	Kriegsmesser (6)
6@9	Goedendag (1)
6@A	Angel Star (3)
6@C	Hand of God (Sacred)
6@D	Dart Thrower (2)
6@E	Stinger Crossbow (4)
6@F	Trebuchet (6)
61@	Short Bow (Sacred)
62@	Hunter's Bow (Sacred)
63@	Long Bow (Sacred)
64@	Composite Bow (Sacred)
65@	Short Battle Bow (Sacred)
66@	Long Battle Bow (Sacred)
67@	Short War Bow (Sacred)
68@	Long War Bow (Sacred)
69@	Wand (Sacred)
7@1	Compound Bow (Sacred)
7@2	Maple Bow (2)
7@3	Viper Bow (4)
7@4	Recurve Bow (6)
7@5	Backsword (1)
7@6	Ida (3)
7@7	Bronze Sword (5)
7@8	Kriegsmesser (Sacred)
7@9	Goedendag (2)
7@A	Angel Star (4)
7@C	Needle Crossbow (1)
7@D	Dart Thrower (3)
7@E	Stinger Crossbow (5)
7@F	Trebuchet (Sacred)
70@	Yew Wand (Sacred)
71@	Bone Wand (Sacred)
72@	Grim Wand (Sacred)
73@	War Hammer (Sacred)
74@	Maul (Sacred)
75@	Great Maul (Sacred)
76@	Light Crossbow (Sacred)
77@	Crossbow (Sacred)
78@	Heavy Crossbow (Sacred)
79@	Repeating Crossbow (Sacred)
7tk	Flying Knife
8@1	Serpent Bow (1)
8@2	Maple Bow (3)
8@3	Viper Bow (5)
8@4	Recurve Bow (Sacred)
8@5	Backsword (2)
8@6	Ida (4)
8@7	Bronze Sword (6)
8@8	Bonebreaker (1)
8@9	Goedendag (3)
8@A	Angel Star (5)
8@C	Needle Crossbow (2)
8@D	Dart Thrower (4)
8@E	Stinger Crossbow (6)
80@	Eagle Orb (Sacred)
81@	Sacred Globe (Sacred)
82@	Smoked Sphere (Sacred)
83@	Clasped Orb (Sacred)
85@	Stag Bow (Sacred)
86@	Reflex Bow (Sacred)
87@	Maiden Spear (Sacred)
88@	Maiden Pike (Sacred)
89@	Maiden Javelin (Sacred)
9@1	Serpent Bow (2)
9@2	Maple Bow (4)
9@3	Viper Bow (6)
9@4	Spatha (1)
9@5	Backsword (3)
9@6	Ida (5)
9@7	Bronze Sword (Sacred)
9@8	Bonebreaker (2)
9@9	Goedendag (4)
9@A	Angel Star (6)
9@B	Hand of God (1)
9@C	Needle Crossbow (3)
9@D	Dart Thrower (5)
9@E	Stinger Crossbow (Sacred)
90@	Katar (Sacred)
91@	Wrist Blade (Sacred)
92@	Hatchet Hands (Sacred)
93@	Cestus (Sacred)
94@	Claws (Sacred)
95@	Blade Talons (Sacred)
96@	Scissors Katar (Sacred)
am1	Stag Bow
am2	Reflex Bow
am3	Maiden Spear
am4	Maiden Pike
am5	Maiden Javelin
as7	Claws
axe	Axe
axf	Hatchet Hands
bal	Balanced Axe
bkf	Balanced Knife
bld	Blade
brn	Brandistock
bsd	Broad Sword
bst	Battle Staff
bsw	Bastard Sword
btl	Blade Talons
btx	Battle Axe
bwn	Bone Wand
cbw	Composite Bow
ces	Cestus
clb	Club
clm	Claymore
clw	Claws
crs	Crystal Sword
cst	Gnarled Staff
dgr	Dagger
dir	Dirk
fla	Flail
flb	Flamberge
flc	Falchion
gax	Great Axe
gb0	Flying Knife
gis	Giant Sword
gix	Giant Axe
glv	Glaive
gma	Great Maul
gsc	Grand Scepter
gsd	Great Sword
gwn	Grim Wand
hax	Hand Axe
hbw	Hunter's Bow
hxb	Heavy Crossbow
j10	Eagle Orb (1)
j11	Sacred Globe (1)
j12	Smoked Sphere (1)
j13	Clasped Orb (1)
j15	Stag Bow (1)
j16	Reflex Bow (1)
j17	Maiden Spear (1)
j18	Maiden Pike (1)
j19	Maiden Javelin (1)
j20	Katar (1)
j21	Wrist Blade (1)
j22	Hatchet Hands (1)
j23	Cestus (1)
j24	Claws (1)
j25	Blade Talons (1)
j26	Scissors Katar (1)
j27	Eagle Orb (2)
j28	Sacred Globe (2)
j29	Smoked Sphere (2)
j30	Clasped Orb (2)
j32	Stag Bow (2)
j33	Reflex Bow (2)
j35	Maiden Pike (2)
j36	Maiden Javelin (2)
j37	Katar (2)
j38	Wrist Blade (2)
j39	Hatchet Hands (2)
j40	Cestus (2)
j41	Claws (2)
j42	Blade Talons (2)
j43	Scissors Katar (2)
j44	Eagle Orb (3)
j45	Sacred Globe (3)
j46	Smoked Sphere (3)
j47	Clasped Orb (3)
j49	Stag Bow (3)
j50	Reflex Bow (3)
j51	Maiden Spear (3)
j52	Maiden Pike (3)
j53	Maiden Javelin (3)
j54	Katar (3)
j55	Wrist Blade (3)
j56	Hatchet Hands (3)
j57	Cestus (3)
j58	Claws (3)
j59	Blade Talons (3)
j60	Scissors Katar (3)
j61	Eagle Orb (4)
j62	Sacred Globe (4)
j63	Smoked Sphere (4)
j64	Clasped Orb (4)
j66	Stag Bow (4)
j67	Reflex Bow (4)
j68	Maiden Spear (4)
j69	Maiden Pike (4)
j70	Maiden Javelin (4)
j71	Katar (4)
j72	Wrist Blade (4)
j73	Hatchet Hands (4)
j74	Cestus (4)
j75	Claws (4)
j76	Blade Talons (4)
j77	Scissors Katar (4)
j78	Eagle Orb (5)
j79	Sacred Globe (5)
j80	Smoked Sphere (5)
j81	Clasped Orb (5)
j83	Stag Bow (5)
j84	Reflex Bow (5)
j85	Maiden Spear (5)
j86	Maiden Pike (5)
j87	Maiden Javelin (5)
j88	Katar (5)
j89	Wrist Blade (5)
j90	Hatchet Hands (5)
j91	Cestus (5)
j92	Claws (5)
j93	Blade Talons (5)
j94	Scissors Katar (5)
j95	Eagle Orb (6)
j96	Sacred Globe (6)
j97	Smoked Sphere (6)
j98	Clasped Orb (6)
jav	Javelin
ktr	Katar
l10	Wand (1)
l11	Yew Wand (1)
l12	Bone Wand (1)
l13	Grim Wand (1)
l14	Wand (2)
l15	Yew Wand (2)
l16	Bone Wand (2)
l17	Grim Wand (2)
l18	Wand (3)
l19	Yew Wand (3)
l20	Bone Wand (3)
l21	Grim Wand (3)
l22	Wand (4)
l23	Yew Wand (4)
l24	Bone Wand (4)
l25	Grim Wand (4)
l26	Wand (5)
l27	Yew Wand (5)
l28	Bone Wand (5)
l29	Grim Wand (5)
l30	Wand (6)
l31	Yew Wand (6)
l32	Bone Wand (6)
l33	Grim Wand (6)
l34	War Hammer (1)
l35	Maul (1)
l36	Great Maul (1)
l37	War Hammer (2)
l38	Maul (2)
l39	Great Maul (2)
l40	War Hammer (3)
l41	Maul (3)
l42	Great Maul (3)
l43	War Hammer (4)
l44	Maul (4)
l45	Great Maul (4)
l46	War Hammer (5)
l47	Maul (5)
l48	Great Maul (5)
l49	War Hammer (6)
l50	Maul (6)
l51	Great Maul (6)
l52	Light Crossbow (1)
l53	Crossbow (1)
l54	Heavy Crossbow (1)
l55	Repeating Crossbow (1)
l56	Light Crossbow (2)
l57	Crossbow (2)
l58	Heavy Crossbow (2)
l59	Repeating Crossbow (2)
l60	Light Crossbow (3)
l61	Crossbow (3)
l62	Heavy Crossbow (3)
l63	Repeating Crossbow (3)
l64	Light Crossbow (4)
l65	Crossbow (4)
l66	Heavy Crossbow (4)
l67	Repeating Crossbow (4)
l68	Light Crossbow (5)
l69	Crossbow (5)
l70	Heavy Crossbow (5)
l71	Repeating Crossbow (5)
l72	Light Crossbow (6)
l73	Crossbow (6)
l74	Heavy Crossbow (6)
l75	Repeating Crossbow (6)
lax	Large Axe
lbb	Long Battle Bow
lbw	Long Bow
lst	Long Staff
lwb	Long War Bow
lxb	Light Crossbow
mac	Mace
mau	Maul
mpi	Military Pick
mst	Morning Star
mxb	Crossbow
o10	Stag Bow (6)
o11	Reflex Bow (6)
o12	Maiden Spear (6)
o13	Maiden Pike (6)
o14	Maiden Javelin (6)
o15	Katar (6)
o16	Wrist Blade (6)
o17	Hatchet Hands (6)
o18	Cestus (6)
o19	Claws (6)
o20	Blade Talons (6)
o21	Scissors Katar (6)
ob1	Eagle Orb
ob2	Sacred Globe
ob3	Smoked Sphere
ob4	Clasped Orb
pik	Pike
pil	Pilum
rxb	Repeating Crossbow
sbb	Short Battle Bow
sbw	Short Bow
scm	Scimitar
scp	Scepter
scy	Scythe
skr	Scissors Katar
spc	Spiked Club
spr	Spear
spt	Spetum
ssd	Short Sword
ssp	Short Spear
sst	Short Staff
swb	Short War Bow
tax	Throwing Axe
tkf	Throwing Knife
tri	Trident
tsp	Throwing Spear
wax	War Axe
whm	War Hammer
wnd	Wand
wrb	Wrist Blade
wsd	War Sword
wsp	War Scepter
wst	War Staff
x34	Maiden Spear (2)
ywn	Yew Wand

[stackable]
!1@	Balanced Knife (Immortal)
!7@	Throwing Axe (Immortal)
!8@	throwing Spear (Immortal)
132	Javelin (1)
133	Pilum (1)
134	Short Spear (1)
135	Glaive (1)
136	Throwing Spear (1)
146	Throwing Knife (1)
147	Flying Knife (1)
148	Balanced Knife (1)
149	Throwing Axe (1)
150	Balanced Axe (1)
200	Javelin (2)
201	Pilum (2)
202	Short Spear (2)
203	Glaive (2)
204	Throwing Spear (2)
214	Throwing Knife (2)
215	Flying Knife (2)
216	Balanced Knife (2)
217	Throwing Axe (2)
218	Balanced Axe (2)
268	Javelin (3)
269	Pilum (3)
270	Short Spear (3)
271	Glaive (3)
272	Throwing Spear (3)
282	Throwing Knife (3)
283	Flying Knife (3)
284	Balanced Knife (3)
285	Throwing Axe (3)
286	Balanced Axe (3)
33@	Javelin (Sacred)
336	Javelin (4)
337	Pilum (4)
338	Short Spear (4)
339	Glaive (4)
34@	Pilum (Sacred)
340	Throwing Spear (4)
35@	Short Spear (Sacred)
350	Throwing Knife (4)
351	Flying Knife (4)
352	Balanced Knife (4)
353	Throwing Axe (4)
354	Balanced Axe (4)
36@	Glaive (Sacred)
37@	Throwing Spear (Sacred)
404	Javelin (5)
405	Pilum (5)
406	Short Spear (5)
407	Glaive (5)
408	Throwing Spear (5)
418	Throwing Knife (5)
419	Flying Knife (5)
420	Balanced Knife (5)
421	Throwing Axe (5)
422	Balanced Axe (5)
47@	Throwing Knife (Sacred)
472	Javelin (6)
473	Pilum (6)
474	Short Spear (6)
475	Glaive (6)
476	Throwing Spear (6)
48@	Flying Knife (Sacred)
486	Throwing Knife (6)
487	Flying Knife (6)
488	Balanced Knife (6)
489	Throwing Axe (6)
49@	Balanced Knife (Sacred)
490	Balanced Axe (6)
50@	Throwing Axe (Sacred)
51@	Balanced Axe (Sacred)
7tk	Flying Knife
89@	Maiden Javelin (Sacred)
am5	Maiden Javelin
bal	Balanced Axe
bkf	Balanced Knife
gb0	Flying Knife
glv	Glaive
j19	Maiden Javelin (1)
j36	Maiden Javelin (2)
j53	Maiden Javelin (3)
j70	Maiden Javelin (4)
j87	Maiden Javelin (5)
jav	Javelin
o14	Maiden Javelin (6)
pil	Pilum
ssp	Short Spear
tax	Throwing Axe
tkf	Throwing Knife
tsp	Throwing Spear
aqv	Arrow Quiver
cqv	Bolt Quiver
qqc	Bolt Quiver (Sacred)
qqv	Arrow Quiver (Sacred)
tbk	Town Portal Book
ibk	Identify Book
gld	gold
aqv	Arrows
cqv	Bolts
key	Skeleton Key
rps	Small Red Potion
rpl	Large Red Potion
bps	Small Blue Potion
bpl	Large Blue Potion
qqv	sacred arrows
qqc	sacred bolts

[monsterparts]

[scrolltome]
tbk Town Portal Book
ibk Identify Book
tsc Town Portal Scroll
isc Identify Scroll

[charms]
cm0 Extra Small Charm (abolished)
cm1 Small Charm
cm2 Large Charm
cm3 Grand Charm
cm4 Odd Charm
cm5 Square Charm
cm6 Odd Charm (soc)
cm7 ÿc2Large Charm Damage Augmenter
cm8 Noob's Odd Charm
cm9 Veteran's Odd Charm
cx0 Extra Small Charm
cx1 Small Charm
cx2 Large Charm
cx3 Grand Charm
a55	Optical Detector
a56	Azmodan's Heart
a57	Visions of Akarat
a58	Scroll of Kings
a59	Laser Focus Crystal
a60	The Butcher's Tooth
a61	Sacred Worldstone Key
a66	Idol of Vanity
a67	Spirit of Damnation
a68	Horazon's Focus
a72	Healer's Light Key
a73	Summoner's Shadow Key
a74	Cleric's Order Key
a75	Shaman's Chaos Key
ab!	Astrogha's Venom Stinger
adi	Legacy of Blood
yq1	Sunless Crystal Bird
yq2	Six Angel Bag
yq7	Hard Mode Charm
yq8	Zakarum's Ear
yqe	Moon of the Spider
yqx	Spirit Trance Herb
w@w	Cold Fusion Schematics
lok	Crystalline Flame Medallion
x@x	The Glorious Book of Median
x01	Sacred Sunstone
x02	Shadow Vortex
x03	Worldstone Orb
x04	Caoi Dulra Fruit
x05	Soulstone Shard
x06	Eye of Divinity
x07	Nexus Crystal
x0x	Eternal Bone Pile
x1x	Sunstone of Fire
x2x	Sunstone of Ice
x3x	Sunstone of Thunder
x4x	Sunstone of the Gods
0u1	Hammer of the Taan Judges
0u2	Weighted Companion Cube
t@t	Demonsbane
k@k	The Book of Lies
az!	Fool's Gold
aq!	Silver Seal of Ureh
