Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
tome_37	291		1	8												0	1024				8	0																	14	3	2	37a	37a									0
tome_38	292		1	8												0	1024				8	0																	13	3	2	38a	38a									0
tome_39	293		1	8												0	1024				8	0																	12	3	2	39a	39a									0
tome_40	294		1	8												0	1024				8	0																	11	3	2	40a	40a									0
tome_41	295		1	8												0	1024				8	0																	10	3	2	41a	41a									0
tome_42	296		1	8												0	1024				8	0																	9	3	2	42a	42a									0
tome_43	297		1	8												0	1024				8	0																	8	3	2	43a	43a									0
tome_44	298		1	8												0	1024				8	0																	7	3	2	44a	44a									0
tome_45	299		1	8												0	1024				8	0																	6	3	2	45a	45a									0
tome_46	300		1	8												0	1024				8	0																	5	3	2	46a	46a									0
tome_47	301		1	8												0	1024				8	0																	4	3	2	47a	47a									0
tome_48	302		1	8												0	1024				8	0																	3	3	2	48a	48a									0
tome_49	303		1	8												0	1024				8	0																	2	3	2	49a	49a									0
tome_50	304		1	8												0	1024				8	0																	1	3	2	50a	50a									0
item_pierce_cold	305		1	9											1452	256	1024				8	55																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
item_pierce_fire	306		1	9											1260	248	1024				8	55																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
item_pierce_ltng	307		1	9											1207	240	1024				8	55																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
item_pierce_pois	308		1	9											1342	253	1024				8	55																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
junk_11	309		1	16												0	1024				16	0																	89	3	2	jr11	jr11									0
junk_12	310		1	16												0	1024				16	0																	88	3	2	jr12	jr12									0
junk_13	311		1	16												0	1024				16	0																	87	3	2	jr13	jr13									0
junk_14	312		1	16												0	1024				16	0																	86	3	2	jr14	jr14									0
junk_15	313		1	16												0	1024				16	0																	85	3	2	jr15	jr15									0
junk_16	314		1	16												0	1024				16	0																	84	3	2	jr16	jr16									0
firelength	315		1	16													1024																																			0
burningmin	316		1	16													1024																																			0
burningmax	317		1	16													1024																																			0
progressive_damage	318		1	3													1024																																			0
progressive_steal	319		1	3													1024																																			0
progressive_other	320		1	3													1024																																			0
progressive_fire	321		1	3													1024																																			0
progressive_cold	322		1	3													1024																																			0
progressive_lightning	323		1	3													1024																																			0
item_extra_charges	324		1	6													1024				6	0											1	1																		0
progressive_tohit	325		1	16													1024																																			0
poison_count	326		1	5													1024																	1																		0
damage_framerate	327		1	8													1024																																			0
pierce_idx	328		1	6													1024																																			0
passive_fire_mastery	329		1	12											1137	207	1024				9	111																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
passive_ltng_mastery	330		1	12											1074	204	1024				9	111																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk									0
passive_cold_mastery	331		1	12											1315	189	1024				9	111																	88	4	1	ModitemdamColdsk	ModitemdamColdsk									0
passive_pois_mastery	332		1	12											998	197	1024				9	111																	88	4	1	ModitemdamPoissk	ModitemdamPoissk									0
passive_fire_pierce	333		1	9												1289	1024				8	0																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
passive_ltng_pierce	334		1	9												1246	1024				8	0																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
passive_cold_pierce	335		1	9												992	1024				8	0																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
passive_pois_pierce	336		1	9												1172	1024				8	0																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
passive_critical_strike	337		1	9													1024				8	0																														0
passive_dodge	338		1	9													1024				7	0																	1	4	1	ModpasvDodge	ModpasvDodge									0
passive_avoid	339		1	9													1024				7	0																	1	4	1	ModpasvAvoid	ModpasvAvoid									0
passive_evade	340		1	9													1024				7	0																	1	4	1	ModpasvEvade	ModpasvEvade									0
passive_warmth	341		1	9													1024				8	0																														0
passive_mastery_melee_th	342		1	11	8												1024				8	0																														0
passive_mastery_melee_dmg	343		1	11	8												1024				8	0																														0
passive_mastery_melee_crit	344		1	9	8												1024				8	0																														0
passive_mastery_throw_th	345		1	11	8												1024				8	0																														0
passive_mastery_throw_dmg	346		1	11	8												1024				8	0																														0
passive_mastery_throw_crit	347		1	9	8												1024				8	0																														0
passive_weaponblock	348		1	9	8												1024				8	0																														0
passive_summon_resist	349		1	9													1024				8	0																														0
modifierlist_skill	350			9													1024																																			0
modifierlist_level	351			8													1024																																			0
last_sent_hp_pct	352		1	8													1024																																			0
source_unit_type	353			5													1024																																			0
source_unit_id	354			32													1024																																			0
shortparam1	355			16													1024																																			0
questitemdifficulty	356																1024				2	0																														0
junk_17	357		1	16												0	1024				16	0																	83	3	2	jr17	jr17									0
junk_18	358		1	16												0	1024				16	0																	82	3	2	jr18	jr18									0
rune_01	359		1	14												0	1024				14	0																	50	3	2	r01	r01									0
rune_02	360		1	14												0	1024				14	0																	49	3	2	r02	r02									0
rune_03	361		1	14												0	1024				14	0																	48	3	2	r03	r03									0
rune_04	362		1	14												0	1024				14	0																	47	3	2	r04	r04									0
rune_05	363		1	14												0	1024				14	0																	46	3	2	r05	r05									0
rune_06	364		1	14												0	1024				14	0																	45	3	2	r06	r06									0
rune_07	365		1	14												0	1024				14	0																	44	3	2	r07	r07									0
rune_08	366		1	14												0	1024				14	0																	43	3	2	r08	r08									0
rune_09	367		1	14												0	1024				14	0																	42	3	2	r09	r09									0
rune_10	368		1	14												0	1024				14	0																	41	3	2	r10	r10									0
rune_11	369		1	14												0	1024				14	0																	40	3	2	r11	r11									0
rune_12	370		1	14												0	1024				14	0																	39	3	2	r12	r12									0
rune_13	371		1	14												0	1024				14	0																	38	3	2	r13	r13									0
rune_14	372		1	14												0	1024				14	0																	37	3	2	r14	r14									0
rune_15	373		1	14												0	1024				14	0																	36	3	2	r15	r15									0
rune_16	374		1	14												0	1024				14	0																	35	3	2	r16	r16									0
rune_17	375		1	14												0	1024				14	0																	34	3	2	r17	r17									0
rune_18	376		1	14												0	1024				14	0																	33	3	2	r18	r18									0
rune_19	377		1	14												0	1024				14	0																	32	3	2	r19	r19									0
rune_20	378		1	14												0	1024				14	0																	31	3	2	r20	r20									0
rune_21	379		1	14												0	1024				14	0																	30	3	2	r21	r21									0
rune_22	380		1	14												0	1024				14	0																	29	3	2	r22	r22									0
rune_23	381		1	14												0	1024				14	0																	28	3	2	r23	r23									0
rune_24	382		1	14												0	1024				14	0																	27	3	2	r24	r24									0
rune_25	383		1	14												0	1024				14	0																	26	3	2	r25	r25									0
rune_26	384		1	14												0	1024				14	0																	25	3	2	r26	r26									0
rune_27	385		1	14												0	1024				14	0																	24	3	2	r27	r27									0
rune_28	386		1	14												0	1024				14	0																	23	3	2	r28	r28									0
rune_29	387		1	14												0	1024				14	0																	22	3	2	r29	r29									0
rune_30	388		1	14												0	1024				14	0																	21	3	2	r30	r30									0
rune_31	389		1	14												0	1024				14	0																	20	3	2	r31	r31									0
rune_32	390		1	14												0	1024				14	0																	19	3	2	r32	r32									0
rune_33	391		1	14												0	1024				14	0																	18	3	2	r33	r33									0
rune_34	392		1	14												0	1024				14	0																	17	3	2	r34	r34									0
rune_35	393		1	14												0	1024				14	0																	16	3	2	r35	r35									0
rune_36	394		1	14												0	1024				14	0																	15	3	2	r36	r36									0
rune_37	395		1	14												0	1024				14	0																	14	3	2	r37	r37									0
rune_38	396		1	14												0	1024				14	0																	13	3	2	r38	r38									0
rune_39	397		1	14												0	1024				14	0																	12	3	2	r39	r39									0
rune_40	398		1	14												0	1024				14	0																	11	3	2	r40	r40									0
rune_41	399		1	14												0	1024				14	0																	10	3	2	r41	r41									0
rune_42	400		1	14												0	1024				14	0																	9	3	2	r42	r42									0
rune_43	401		1	14												0	1024				14	0																	8	3	2	r43	r43									0
rune_44	402		1	14												0	1024				14	0																	7	3	2	r44	r44									0
rune_45	403		1	14												0	1024				14	0																	6	3	2	r45	r45									0
rune_46	404		1	14												0	1024				14	0																	5	3	2	r46	r46									0
rune_51	405		1	14												0	1024				14	0																	33	3	2	r51	r51									0
rune_52	406		1	14												0	1024				14	0																	32	3	2	r52	r52									0
rune_53	407		1	14												0	1024				14	0																	31	3	2	r53	r53									0
rune_54	408		1	14												0	1024				14	0																	30	3	2	r54	r54									0
rune_55	409		1	14												0	1024				14	0																	29	3	2	r55	r55									0
rune_56	410		1	14												0	1024				14	0																	28	3	2	r56	r56									0
rune_57	411		1	14												0	1024				14	0																	27	3	2	r57	r57									0
rune_58	412		1	14												0	1024				14	0																	26	3	2	r58	r58									0
rune_59	413		1	14												0	1024				14	0																	25	3	2	r59	r59									0
rune_60	414		1	14												0	1024				14	0																	24	3	2	r60	r60									0
rune_61	415		1	14												0	1024				14	0																	23	3	2	r61	r61									0
rune_62	416		1	14												0	1024				14	0																	22	3	2	r62	r62									0
rune_63	417		1	14												0	1024				14	0																	21	3	2	r63	r63									0
rune_64	418		1	14												0	1024				14	0																	20	3	2	r64	r64									0
rune_65	419		1	14												0	1024				14	0																	19	3	2	r65	r65									0
rune_66	420		1	14												0	1024				14	0																	18	3	2	r66	r66									0
rune_67	421		1	14												0	1024				14	0																	17	3	2	r67	r67									0
rune_68	422		1	14												0	1024				14	0																	16	3	2	r68	r68									0
rune_69	423		1	14												0	1024				14	0																	15	3	2	r69	r69									0
rune_70	424		1	14												0	1024				14	0																	14	3	2	r70	r70									0
rune_71	425		1	14												0	1024				14	0																	13	3	2	r71	r71									0
rune_72	426		1	14												0	1024				14	0																	12	3	2	r72	r72									0
rune_73	427		1	14												0	1024				14	0																	11	3	2	r73	r73									0
rune_74	428		1	14												0	1024				14	0																	10	3	2	r74	r74									0
rune_75	429		1	14												0	1024				14	0																	9	3	2	r75	r75									0
rune_76	430		1	14												0	1024				14	0																	8	3	2	r76	r76									0
rune_77	431		1	14												0	1024				14	0																	7	3	2	r77	r77									0
rune_78	432		1	14												0	1024				14	0																	6	3	2	r78	r78									0
rune_79	433		1	14												0	1024				14	0																	5	3	2	r79	r79									0
rune_80	434		1	14												0	1024				14	0																	4	3	2	r80	r80									0
rune_81	435		1	14												0	1024				14	0																	3	3	2	r81	r81									0
rune_82	436		1	14												0	1024				14	0																	2	3	2	r82	r82									0
rune_83	437		1	14												0	1024				14	0																	1	3	2	r83	r83									0
item_01	438		1	16												0	1024				16	0																	24	3	2	map	map									0
item_02	439		1	16												0	1024				16	0																	23	3	2	ddd	ddd									0
item_03	440		1	16												0	1024				16	0																	22	3	2	yyy	yyy									0
item_04	441		1	16												0	1024				16	0																	20	3	2	zzz	zzz									0
item_05	442		1	16												0	1024				16	0																	19	3	2	brz	brz									0
item_06	443		1	16												0	1024				16	0																	18	3	2	eyz	eyz									0
item_07	444		1	16												0	1024				16	0																	17	3	2	qll	qll									0
item_08	445		1	16												0	1024				16	0																	16	3	2	spe	spe									0
item_09	446		1	16												0	1024				16	0																	15	3	2	tal	tal									0
item_10	447		1	16												0	1024				16	0																	14	3	2	jaw	jaw									0
item_11	448		1	16												0	1024				16	0																	13	3	2	fng	fng									0
item_12	449		1	16												0	1024				16	0																	12	3	2	hrn	hrn									0
item_13	450		1	16												0	1024				16	0																	11	3	2	scz	scz									0
item_14	451		1	16												0	1024				16	0																	10	3	2	hrt	hrt									0
item_15	452		1	16												0	1024				16	0																	9	3	2	sol	sol									0
item_16	453		1	16												0	1024				16	0																	8	3	2	ear2	ear2									0
item_17	454		1	16												0	1024				16	0																	7	3	2	flg	flg									0
item_18	455		1	16												0	1024				16	0																	6	3	2	sdo	sdo									0
item_19	456		1	16												0	1024				16	0																	2	3	2	99j2	99j2									0
item_20	457		1	16												0	1024				16	0																	1	3	2	rvs2	rvs2									0
item_21	458		1	16												0	1024				16	0																	5	3	2	bcpn1	bcpn1									0
item_22	459		1	16												0	1024				16	0																	4	3	2	bcpn2	bcpn2									0
item_23	460		1	16												0	1024				16	0																	3	3	2	bcpn3	bcpn3									0
junk_07	461		1	16												0	1024				16	0																	93	3	2	jr7	jr7									0
junk_08	462		1	16												0	1024				16	0																	92	3	2	jr8	jr8									0
item_craftflag2	463		1	10												0	1024				10	0																	162	3	0	Forged Jew	Forged Jew									0
item_tinkerflag2	464		1	4												0	1024				8	0																														0
item_24	465		1	16												0	1024				16	0																	21	3	2	qqq	qqq									0
item_maxdamage_percent2	466		1	11											65	10	1024				10	123			1			maxdamage	secondary_maxdamage	item_throw_maxdamage				1					129	3	0	ModStr2j	ModStr2j									0
item_mindamage_percent2	467		1	11											65	10	1024				10	123			1			mindamage	secondary_mindamage	item_throw_mindamage				1					130	3	0	ModStr2k	ModStr2k									0
junk_09	468		1	16												0	1024				16	0																	70	3	2	jr9	jr9									0
rune_50	469		1	14												0	1024				14	0																	1	3	2	r50	r50									0
xtal_00	470		1	18												0	1024				18	0																	12	3	2	xt0	xt0									0
xtal_01	471		1	18												0	1024				18	0																	11	3	2	xt1	xt1									0
xtal_02	472		1	18												0	1024				18	0																	10	3	2	xt2	xt2									0
xtal_03	473		1	18												0	1024				18	0																	9	3	2	xt3	xt3									0
xtal_04	474		1	18												0	1024				18	0																	8	3	2	xt4	xt4									0
xtal_05	475		1	18												0	1024				18	0																	7	3	2	xt5	xt5									0
xtal_06	476		1	18												0	1024				18	0																	6	3	2	xt6	xt6									0
xtal_07	477		1	18												0	1024				18	0																	5	3	2	xt7	xt7									0
xtal_08	478		1	18												0	1024				18	0																	4	3	2	xt8	xt8									0
xtal_09	479		1	18												0	1024				18	0																	3	3	2	xt9	xt9									0
xtal_10	480		1	18												0	1024				18	0																	2	3	2	xtx	xtx									0
xtal_11	481		1	18												0	1024				18	0																	1	3	2	xty	xty									0
passive_mag2_mastery	482		1	12											1231	215	1024				9	111																	88	4	1	ModitemdamMagsk	ModitemdamMagsk									0
passive_wind_mastery	483		1	12											1231	215	1024				9	111																	88	4	1	ModitemdamWindsk	ModitemdamWindsk									0
item_jewelflag	484		1	4												0	1024				4	0																														0
item_mercflag	485		1	4												0	1024				4	0																	161	3	0	Merc Forged	Merc Forged									0
passive_summ_mastery	486		1	12											1231	215	1024				9	111																	88	4	1	ModitemdamSummsk	ModitemdamSummsk									0
item_summskills	487		1	8							1				7581	1024	1024				4	0																	158	1	1	ModStr3kSum	ModStr3kSum									0
item_extraflag	488		1	4												0	1024				4	0																														0
item_mindamage_perlevel	489		1	6											74	102	1024				6	0			4	3	level	mindamage	secondary_mindamage	item_throw_mindamage				1					125	6	1	ModStrMinDmgLvl	ModStrMinDmgLvl	increaseswithplaylevelX								0
item_mindamage_percent_perlevel	490		1	6											106	50	1024				6	0			5	3	level	mindamage	secondary_mindamage	item_throw_mindamage				1					128	8	1	ModStrMinDmgLvl%	ModStrMinDmgLvl%	increaseswithplaylevelX								0
item_aura_super	491		1								1						1024				7	0	11																159	16	0	ModitemAura	ModitemAura									0
